incident_id,site,incident_date,incident_type,severity,compliance_score,description,root_cause,response_time_hours,status
INC-04830,SITE-003,2026-01-26,Leak,high,68.5,Miss democratic institution training recent finally career share identify social talk.,,3.5,Closed
INC-05497,SITE-005,2023-08-02,Fire,Medium,68.5,Mean where fact vote pull tax civil public.,Material Fatigue,13.5,Closed
INC-02337,SITE-003,2024-02-20,Equipment Failure,High,59.4,Meet yard perhaps character wish shoulder group job.,Material Fatigue,0.7,Under Investigation
INC-05208,SITE-003,2024-01-17,,Critical,16.6,Manage establish old long sound paper water.,,3.5,Under Investigation
INC-05192,SITE-006,17-Feb-2024,,High,72.3,Morning condition despite relationship free listen sometimes here.,Sensor Malfunction,11.0,Open
INC-04114,SITE-005,2024-10-24,Spill,Medium,85.2,Wide worry economic half go type of possible it important project.,Sensor Malfunction,12.4,Open
INC-05358,SITE-006,2025-04-14,Leak,Low,92.9,Reach travel run reality market science investment fact about pretty ball card which break.,Operator Error,9.3,Open
INC-00609,SITE-005,2025-01-17,Equipment Failure,Low,98.2,Course analysis box score reflect probably beyond opportunity whom myself available we.,Valve Failure,4.3,Under Investigation
INC-01057,SITE-003,2026-01-21,Spill,Medium,80.0,Change protect beautiful recent open free.,Third-party Damage,1.7,Closed
INC-03273,SITE-001,2026-01-24,Fire ,Low,88.0,Return up smile large threat adult natural newspaper local culture really art east choice movie return guy similar what.,Corrosion,4.7,Closed
INC-03543,SITE-004,2023-11-25,Fire,High,44.4,Term ten agreement price stuff herself out that bill close.,Operator Error,21.7,Closed
INC-05183,SITE-004,08-Nov-2023,Equipment Failure,High,52.2,Real discussion high sense always certain government kitchen budget soldier record natural play nor or.,Corrosion,16.0,Open
INC-05534,SITE-006,06/02/2024,Leak,High,54.1,Environmental operation end difficult today able despite democratic line family door myself natural.,Third-party Damage,10.9,Under Investigation
INC-03313,SITE-001,2024-05-05,Near  Miss,High,48.4,Matter grow break seat plan federal behind wide.,Sensor Malfunction,4.3,Closed
INC-04972,SITE-004,2024-10-03,Equipment Failure,Low,95.5,Head plant democratic bad while collection.,Material Fatigue,12.5,Closed
INC-03387,SITE-003,2026-06-15,Leak,Medium,90.0,His image range imagine full military page society old occur.,Valve Failure,4.4,Open
INC-00935,SITE-004,2024-10-27,Equipment Failure,Low,84.3,Control probably article full class through quality.,Third-party Damage,4.5,Under Investigation
INC-04742,SITE-004,2026-06-25,Equipment Failure,Low,86.1,Senior continue point somebody without hard sea city work.,Operator Error,3.7,Closed
INC-01704,SITE-006,08/05/2024,Near Miss,low,88.9,Floor miss success behind evidence wrong can drug let democratic couple rise military long.,Valve Failure,10.1,Under Investigation
INC-03944,SITE-002,2024-04-11,Leak,Medium,72.4,Low read stage base wait.,,5.6,Closed
INC-03528,SITE-002,2024-05-16,Equipment Failure,,92.1,Rest single call option they heart still she.,,0.6,Closed
INC-04106,SITE-006,19/12/2024,Fire,Critical,36.4,Discover whose professional research herself its answer everyone image your.,Operator Error,1.6,Open
INC-00410,SITE-003,2024-10-23,Spill,High,55.3,Least picture phone letter goal him race down.,,16.0,Closed
INC-02185,SITE-006,2025-07-29,Equipment Failure,Critical,42.7,Decade statement oil my east start value fast whom radio.,,3.1,Closed
INC-01495,SITE-004,01/05/2024,Spill,Low,81.0,Plant turn method mouth age agency last western east safe modern.,Sensor Malfunction,1.4,Under Investigation
INC-05284,SITE-006,2024-01-07,Leak,Critical,35.1,Blue future lawyer lose art fill guess.,Material Fatigue,5.1,Closed
INC-02462,SITE-006,2024-11-24,Near Miss,High,78.8,Expect place half whose center child special across story own two have admit store forward scientist.,,9.4,Under Investigation
INC-04915,SITE-006,2026-06-22T00:00:00Z,Leak,Low,82.0,Bank fast generation no respond among son Republican poor board yes news scientist.,Operator Error,11.8,Under Investigation
INC-01981,SITE-002,2025-12-26,Near Miss,LOW,90.1,Nature official stock black security lot expect us similar worker story purpose perform close lead big threat.,Operator Error,4.7,Open
INC-04020,SITE-006,17/10/2023,Near Miss,High,57.6,Growth deep break only than your not remain would author camera career.,Valve Failure,12.7,Closed
INC-04559,SITE-003,2026-07-21,Leak,Critical,30.7,Manage ten none radio source development interview.,Sensor Malfunction,6.8,Closed
INC-03736,SITE-001,05/07/2024,Near Miss,High,53.1,People city child structure machine else.,Sensor Malfunction,4.1,Open
INC-04583,SITE-001,2026-05-25,Equip. Failure,Low,77.9,Difference first bit face sing within city best environment clear skill.,Valve Failure,3.5,Closed
INC-04396,SITE-005,2026-06-28,Near Miss,Medium,72.7,Yourself south education style travel century computer social.,Valve Failure,4.6,Open
INC-04570,SITE-004,2025-02-18,Near Miss,Medium,84.0,Lawyer game wait effect any cost.,Sensor Malfunction,5.6,Closed
INC-04266,SITE-006,2024-01-02,Leak,Critical,40.2,Tell edge form budget economic site middle get interesting data.,Material Fatigue,16.8,Under Investigation
INC-05946,SITE-006,2024-03-16T00:00:00Z,Leak,Critical,29.6,Rather least rock attention week memory number.,Operator Error,4.9,Closed
INC-01225,SITE-006,2024-02-18,Leak,Critical,40.9,Project food opportunity power among if reason plan focus role.,Material Fatigue,7.2,Closed
INC-05134,SITE-005,2026-04-17,Equipment Failure,Medium,66.0,Store true budget best future effect situation business each.,Third-party Damage,3.0,Open
INC-03500,SITE-001,2025-08-05,Leak,Medium,72.6,American few across skin ago them everything teacher manager if affect foot.,,3.0,Open
INC-03711,SITE-005,2025-07-17,Equip. Failure,High,67.3,Road ask particular buy inside analysis past affect huge effort decade generation.,Valve Failure,14.7,Under Investigation
INC-00194,SITE-003,2026-07-24,Fire,Medium,70.6,Recently lay treat quite benefit senior state life possible their factor job law crime necessary.,,10.2,Under Investigation
INC-03796,SITE-006,12/14/2024,Equipment Failure,Critical,35.9,Kid relate big throughout event lawyer stock quality answer this.,Sensor Malfunction,6.4,Open
INC-04419,SITE-003,2026-06-08,Spill,Critical,40.8,Foot collection thank center environment step until movement body prepare.,Valve Failure,5.2,Closed
INC-01534,SITE-002,2025-05-22,Equipment Failure,Medium,82.9,Affect since purpose simply better draw use sing international particularly seem Congress perform growth.,Third-party Damage,7.8,Closed
INC-02103,SITE-002,2024-11-29,Near Miss,Critical,40.7,Improve black husband newspaper resource boy safe able.,Third-party Damage,12.4,Open
INC-01173,SITE-006,2025-11-09,Spill,High,75.9,Where of year on research song reach may southern thank attorney.,Sensor Malfunction,1.3,Open
INC-02128,SITE-003,08/18/2025,Leak,High,56.0,Their such such street develop reach even as people he central save treatment everyone.,Corrosion,8.6,Open
INC-02314,SITE-005,2024-05-08,Equipment Failure,Medium,77.6,Ready market turn sell meet assume vote idea back.,Valve Failure,5.5,Closed
INC-04440,SITE-001,2025-11-19,Near Miss,Medium,73.8,Fast phone like perform almost security certainly try same.,Operator Error,1.0,Under Investigation
INC-00281,SITE-003,2026-07-03T00:00:00Z,Leak,MEDIUM,68.7,Alone put worry point effect trial us occur walk similar score debate tend.,Sensor Malfunction,4.8,Open
INC-04582,SITE-006,2024-03-07,Near Miss,HIGH,75.7,Health year goal attention talk probably will customer green.,Material Fatigue,0.8,Under Investigation
INC-03534,SITE-006,2024-03-30,Leak,,41.3,Manager over clear financial special majority middle.,Material Fatigue,23.4,Open
INC-00599,SITE-001,2024-12-22,Spill,Low,78.9,Or result test strategy foreign cup trouble impact artist.,Third-party Damage,16.9,Under Investigation
INC-04171,SITE-006,2025-12-29,Equipment Failure,High,75.0,Too yes class capital measure we campaign position laugh offer a benefit resource none.,Material Fatigue,2.4,Open
INC-00375,SITE-001,2024-11-02,Equipment Failure,Low,78.0,Throughout table PM recognize individual head be own.,Valve Failure,8.0,Closed
INC-02668,SITE-001,17/10/2023,Spill,Low,86.8,Dog present should away trade adult community several end environment opportunity officer have there.,Material Fatigue,31.1,Under Investigation
INC-01764,SITE-002,2025-01-24,Equipment Failure,Critical,23.7,Line international early away fight heavy involve ago different challenge meeting Republican local be worker control.,Valve Failure,20.4,Under Investigation
INC-03366,SITE-003,2024-05-14,Fire,Low,86.7,Many happy charge respond huge.,Sensor Malfunction,2.2,Open
INC-03606,SITE-006,2023-08-01,Fire,High,70.4,Final kitchen happy teach program guy approach staff sing water card thank himself hard discover reality direction.,Valve Failure,12.5,Under Investigation
INC-04484,SITE-002,2024-12-15,,Low,93.4,Account others before world author eight road.,Third-party Damage,9.6,Under Investigation
INC-05935,SITE-001,2025-09-17,equipment failure,Medium,65.7,Front share interesting weight student cut have social.,Operator Error,6.5,Closed
INC-01672,SITE-002,12-Dec-2024,Near Miss,Critical,33.4,Appear bar we firm evening church huge amount national manage sure some court enter man behind tend.,Sensor Malfunction,7.9,Open
INC-04166,SITE-003,2026-01-01,Near Miss,Low,82.1,Similar direction employee down whose defense name work.,Operator Error,1.9,Open
INC-05840,SITE-003,2025-11-15,Near Miss,High,56.5,Personal discover ground wait help guy choice rise draw safe south later where behind.,Corrosion,3.1,Closed
INC-03768,SITE-003,2026-04-21,Equipment Failure,High,46.2,Pattern reduce when reality office authority travel prevent available guy north seek at tell investment nothing take check final.,Third-party Damage,9.6,Closed
INC-00643,SITE-004,2023-11-02,Fire ,Med,67.4,Himself take firm near participant.,Material Fatigue,4.9,Open
INC-05332,SITE-006,14/12/2024,Fire,low ,93.3,Anyone individual allow camera red wind remain occur white east represent vote than free after us teach reflect.,Valve Failure,12.0,Under Investigation
INC-03338,SITE-002,2025-07-06,Near Miss,Medium,78.0,Life model benefit ahead main late young recognize protect.,Corrosion,17.2,Closed
INC-00061,SITE-004,19-Mar-2024,Spill,Low,92.8,Adult already manager bar fly water different.,Operator Error,1.2,Open
INC-05576,SITE-001,12/09/2023,near miss,Medium,69.2,Growth result key.,Sensor Malfunction,7.9,Open
INC-01367,SITE-001,2025-07-31,Equipment Failure,High,55.0,Who world on matter service whatever play.,Corrosion,3.8,Open
INC-00049,SITE-004,2026-05-15,near-miss,Low,85.3,Employee back record company different phone.,Third-party Damage,2.5,Under Investigation
INC-05012,SITE-004,2024-04-15,Fire,Low,92.3,So either state agreement economy sea rule room board police rise develop difference shake box travel feeling.,Material Fatigue,4.1,Open
INC-01053,SITE-004,2024-07-24,Equip. Failure,Medium,93.2,Might various TV wide friend over inside rise recently fire fear news activity.,Operator Error,12.0,Open
INC-00766,SITE-006,2025-10-30,Equipment Failure,crit,57.1,Beyond either school history child body return five more arrive hand staff understand model effort campaign entire official site.,Sensor Malfunction,5.0,Open
INC-02418,SITE-003,2023-10-20,Spill,Medium,75.5,Everybody him like career year rest party mind actually something note require decade however.,,3.3,Closed
INC-03828,SITE-003,2024-10-21,Fire,,46.2,Exactly road beyond nothing term appear minute trade care.,Third-party Damage,5.8,Open
INC-04110,SITE-001,2024-09-25,Leak,,83.8,Generation produce style ok brother Republican specific young call.,Material Fatigue,6.0,Under Investigation
INC-01213,SITE-001,2023-08-21,Near Miss,Critical,28.6,Effort compare military nothing want mission morning ability.,Corrosion,5.3,Closed
INC-05971,SITE-005,2024-03-12T00:00:00Z,Fire,Medium,69.0,Letter throughout figure go sport everything purpose.,Operator Error,10.2,Under Investigation
INC-00659,SITE-002,2023-12-06,Leak,,91.1,Ability see any evidence pretty do many mention decide dark especially fund investment human lot clear my high industry.,Sensor Malfunction,11.4,Open
INC-04017,SITE-005,2024-07-11,NEAR MISS,HIGH,63.4,Director another program interest consumer measure.,Corrosion,4.2,Open
INC-01144,SITE-003,2024-03-28,Equipment Failure,High,64.7,Former play character choose commercial real build mother.,Operator Error,16.9,Open
INC-04553,SITE-005,2024-09-18,Fire,Low,92.8,Least fund where development about.,Operator Error,10.5,Under Investigation
INC-01691,SITE-002,2026-02-14,,Low,95.3,Bank our coach suddenly future modern collection.,Sensor Malfunction,1.5,Closed
INC-03001,SITE-006,06-Nov-2024,Equipment Failure,Critical,43.1,Class hard push increase physical child book either.,,4.8,Closed
INC-05793,SITE-005,2023-10-24,Near Miss,Critical,47.1,Teacher outside read pattern couple sometimes push tree above tough local turn alone until soon bring prevent son right.,Operator Error,12.5,Closed
INC-05628,SITE-006,2025-03-28,Leak,High,70.6,Benefit operation idea himself hand same behavior could computer never.,Operator Error,3.1,Closed
INC-01732,SITE-003,2024-08-01,Spill,High,83.5,Expect cause manager even modern evening.,Sensor Malfunction,2.2,Under Investigation
INC-05389,SITE-006,2025-11-01,leak ,High,55.5,Your although certain meet relationship exist design worry other too most with price.,Corrosion,1.0,Open
INC-05224,SITE-005,2025-05-09,Equipment Failure,Low,86.2,Beautiful story put rather can condition get medical stop street blue maintain total high power.,Corrosion,3.3,Open
INC-02461,SITE-003,2023-11-29,Near Miss,Critical,45.2,Recent employee according marriage president culture example.,Corrosion,3.8,Open
INC-01723,SITE-005,2026-06-02,Equipment Failure,,55.2,Education difference east enter from money eye north eye.,Operator Error,5.8,Open
INC-01349,SITE-006,2024-11-12,Leak,High,69.8,Choice great manage team because fine lead produce blue common soon.,Valve Failure,28.7,Closed
INC-00334,SITE-006,2025-07-17,Fire,Critical,40.1,Including imagine daughter every help plant star yeah half small power involve door.,Sensor Malfunction,4.7,Closed
INC-01245,SITE-004,2023-08-14T00:00:00Z,Equipment Failure,Low,80.2,Expert world magazine dark cut beautiful entire finish community anyone medical including more.,Operator Error,2.0,Closed
INC-02893,SITE-003,2025-05-19,Leak,Low,88.1,Bed Democrat build whether purpose page ahead view left one poor step development situation.,Corrosion,3.4,Closed
INC-00359,SITE-001,2024-12-14,Fire,Critical,45.4,Low go use goal store trip month accept listen.,Sensor Malfunction,0.5,Under Investigation
INC-03868,SITE-004,2024-10-29,Leak,Critical,27.5,Foreign yes service remain but important wind believe church fast year participant.,Valve Failure,14.3,Open
INC-02762,SITE-003,2024-10-28,Spill,Hi,68.3,Drop card meet pay remain performance visit magazine I girl imagine place when there.,,22.6,Under Investigation
INC-03480,SITE-001,2024-03-22,Fire ,Medium,69.4,Coach little stock shoulder prove star human there.,Corrosion,3.5,Open
INC-03518,SITE-003,2025-03-31,Spill,Lo,80.6,Hold vote about southern include stage much size morning itself future factor.,Third-party Damage,11.1,Closed
INC-04884,SITE-005,06/17/2025,Fire,Medium,82.5,During traditional avoid threat rich shake open sister quite hundred trial.,Operator Error,4.8,Open
INC-00746,SITE-002,2025-04-14,Leak, medium,85.1,Low care before heavy keep message feeling against.,Corrosion,12.1,Open
INC-04384,SITE-001,2026-03-25,,,86.7,Everybody majority husband above event somebody company on open true.,,15.1,Closed
INC-04465,SITE-006,02/25/2025,Spill,Critical,57.1,Suffer collection month occur election rate decade necessary.,Corrosion,6.1,Under Investigation
INC-05579,SITE-004,2024-04-19,Equipment Failure,Critical,65.9,Film style hot side son sometimes will herself include meet cover.,Third-party Damage,1.4,Closed
INC-03631,SITE-003,2025-09-30,Spill,Low,88.8,Game fact factor discussion matter reduce growth.,Operator Error,14.1,Under Investigation
INC-03973,SITE-001,2025-06-05,,Low,87.8,Teacher decide five any others serious wife water range whatever leader various shoulder.,Operator Error,3.4,Closed
INC-00749,SITE-004,2025-05-26,Equipment Failure,HIGH,75.2,Subject continue design song unit local friend truth either reduce paper number apply.,Sensor Malfunction,3.5,Open
INC-05542,SITE-001,2024-07-04,Fire,High,52.6,Sometimes my thus figure take suddenly energy buy wall here window model.,Corrosion,14.1,Closed
INC-03898,SITE-004,01/01/2025,Near Miss,,66.5,He right real clear book Democrat tough wish discussion agency.,Corrosion,11.2,Under Investigation
INC-02537,SITE-006,2026-06-14,Spill,High,59.8,Republican true until democratic within learn act weight door right police her.,,6.8,Closed
INC-01752,SITE-003,01-May-2026,Leak,Critical,25.6,Take until whole important certainly them fine interesting character hit street civil produce product order walk join Democrat party pattern ahead.,Operator Error,6.6,Closed
INC-05181,SITE-004,2025-04-18,Equipment Failure,Critical,36.8,Day walk past mission fund yet.,Valve Failure,2.2,Under Investigation
INC-04635,SITE-006,2025-02-07,Near Miss,High,59.8,Boy certainly change book civil find himself within area candidate conference within visit one during course.,,2.6,Under Investigation
INC-02573,SITE-004,2025-05-16,Near Miss,Low,85.3,Produce eat three customer member reality poor.,Corrosion,0.9,Open
INC-00593,SITE-001,2025-03-31,Fire,Low,91.5,Own wall national your history successful.,,5.4,Closed
INC-06000,SITE-004,21-Jul-2024,Near Miss,Low,90.3,Television become lawyer current small well focus option city article blue.,Operator Error,1.5,Closed
INC-04358,SITE-002,2026-04-29,Near Miss,Low,90.8,Ok bar support way mission thousand make series north look number soon.,Third-party Damage,2.5,Under Investigation
INC-00117,SITE-002,2024-04-14,Equipment Failure,Low,82.3,Education thank answer sell significant threat these staff.,Operator Error,5.9,Closed
INC-04869,SITE-006,2024-10-24,Spill, High,72.2,Build defense sort box perhaps something force.,,17.3,Under Investigation
INC-02225,SITE-006,2025-06-25,Spill,Medium,72.3,Industry article property girl edge order read south.,Corrosion,31.9,Closed
INC-01336,SITE-005,2026-03-17,Spill,Low,92.0,Off several which those coach senior other science only everything responsibility finally.,Corrosion,11.2,Open
INC-04117,SITE-003,2025-04-27,Near Miss,Critical,64.2,Option voice society view road hand free game probably Democrat study seek establish.,Valve Failure,10.4,Open
INC-01638,SITE-001,2025-12-29,Equipment Failure,Low,78.7,National side wind who human institution positive energy story factor.,Valve Failure,4.3,Closed
INC-04446,SITE-003,2024-04-01,Spill,High,56.8,Final sport national everything thousand none drug new.,Third-party Damage,9.3,Closed
INC-02634,SITE-006,2025-12-23,Spill,High,71.7,Analysis stand any far last assume himself operation.,,0.8,Under Investigation
INC-03414,SITE-006,03/02/2024,Near Miss,critical,32.0,Difficult material charge your begin agreement.,,16.1,Open
INC-01331,SITE-001,2024-10-23,Near Miss,High,48.4,Record benefit important soon.,Third-party Damage,2.5,Closed
INC-02376,SITE-004,2025-09-01,Fire,High,73.5,Size them deep store natural left actually five people.,Valve Failure,4.3,Open
INC-03630,SITE-002,2025-11-26,Near Miss,Medium,77.4,Half while rich pay test between sing past recent pay fight today.,Third-party Damage,2.2,Open
INC-00707,SITE-003,2023-08-28,Equipment Failure,High,63.7,Movie forward family hit of picture turn popular school serve plan.,Sensor Malfunction,12.4,Under Investigation
INC-01809,SITE-005,2025-07-30T00:00:00Z,Leak,Low,77.7,Surface though another give play subject adult deal tell.,Material Fatigue,3.9,Open
INC-04797,SITE-004,2025-10-30,Leak,low ,88.1,West city behind nor film here poor personal individual goal government.,Sensor Malfunction,2.8,Closed
INC-01923,SITE-006,2025-05-09,Leak,CRITICAL,70.9,Have necessary cell instead push likely car.,Third-party Damage,2.2,Open
INC-03272,SITE-001,2025-07-28,Equipment Failure,Medium,63.8,Add head key stock sense stage summer agent under later thousand be produce maybe project performance anything threat.,Sensor Malfunction,4.2,Closed
INC-03584,SITE-001,2024-06-02,Spill,Medium,77.8,Professor win like myself far story entire coach.,Sensor Malfunction,4.3,Open
INC-01910,SITE-006,2025-06-27,Near Miss,critical,59.2,Coach road production central southern population determine analysis fish response quickly off girl.,Sensor Malfunction,3.1,Under Investigation
INC-01228,SITE-004,02-Sep-2024,Near Miss,MEDIUM,66.7,Inside catch night break necessary join standard consumer style service mother garden.,Third-party Damage,6.8,Closed
INC-01172,SITE-006,01/08/2025,EQUIPMENT FAILURE,Critical,25.6,Smile recognize agency easy design you piece.,Material Fatigue,18.0,Open
INC-04971,SITE-002,2024-02-16,NEAR MISS,Crit,21.3,Deep why growth.,Corrosion,9.6,Open
INC-05926,SITE-002,2025-10-11,Equipment Failure,High,57.9,Black but bring coach receive next up grow might debate own more time produce listen police every board.,Valve Failure,2.6,Closed
INC-04956,SITE-006,2024-01-10,Leak,Critical,55.0,Everyone police tonight various hair chance truth significant rather agreement week president.,Valve Failure,5.3,Open
INC-00607,SITE-006,2025-04-29,Leak,low,80.1,Do find either soldier movie pressure billion.,,7.1,Open
INC-05265,SITE-006,2024-10-24,Equipment Failure,critical,47.8,Sister beyond nice major science hospital series may various least.,Operator Error,4.8,Open
INC-05362,SITE-002,2025-07-02T00:00:00Z,Fire,High,73.2,Effort until painting go stay ago green shoulder room really over news wife.,,11.3,Closed
INC-01274,SITE-003,2023-10-09,Leak,Critical,38.2,Director himself consumer common everything guy address expert son oil.,Sensor Malfunction,16.9,Closed
INC-05594,SITE-005,23/04/2025,Equipment Failure,Low,97.1,Them boy land cause learn network director.,,4.4,Under Investigation
INC-02501,SITE-002,2026-06-09,,Low,90.7,Culture determine perhaps value.,Sensor Malfunction,5.6,Closed
INC-00332,SITE-006,2023-09-02,Leak,Medium,71.3,High region dog office second more world free represent minute into firm rock yet.,Sensor Malfunction,10.8,Open
INC-03320,SITE-006,2023-12-14,Spill,Critical,58.3,Case often blood guess process whom.,Corrosion,7.1,Open
INC-05222,SITE-006,2024-10-19,Leak,Critical,46.2,Offer face much job in small eat decision blue quite old similar.,,3.6,Closed
INC-04945,SITE-002,2024-10-17,Near Miss,Critical,39.4,Allow kid people when call might animal.,,17.2,Closed
INC-00072,SITE-002,2025-10-11T00:00:00Z,Equipment Failure,Low,95.5,Myself series standard situation wish know six allow cause TV field stuff.,Sensor Malfunction,1.5,Under Investigation
INC-01509,SITE-004,2026-10-19,Fire,,79.7,Generation air large past sign seem bag trip dog news myself.,Material Fatigue,13.6,Closed
INC-00669,SITE-006,2024-02-03,Spill,Low,92.3,Low actually production management measure table.,,3.2,Closed
INC-00402,SITE-002,2025-07-14,Near Miss, medium,75.4,Approach let work head.,Corrosion,7.4,Closed
INC-01305,SITE-004,2026-02-07,Fire,Medium,77.6,Want window sometimes true war interview since possible.,Material Fatigue,10.4,Closed
INC-03331,SITE-001,2025-04-23,Near Miss,Critical,38.5,Chair hand sister modern guy.,Operator Error,12.9,Open
INC-00865,SITE-003,2023-07-27,Equipment  Failure,High,53.1,Admit evidence wrong public live likely main leader purpose relate nature guess.,Third-party Damage,9.4,Under Investigation
INC-05941,SITE-003,2026-05-20,Fire,crit,33.3,Condition use yeah hard task glass.,Valve Failure,4.4,Closed
INC-00498,SITE-006,31-May-2025,Near Miss,Medium,76.5,Like design cause speech any deal couple tend.,Operator Error,7.4,Under Investigation
INC-03409,SITE-006,2023-08-29,Leak,High,64.2,Glass dark store father herself bill right.,Third-party Damage,5.6,Closed
INC-05718,SITE-006,2024-05-10,Leak,High,71.5,Minute various meeting nature low whose interest thousand likely hit site while responsibility good enough season.,Third-party Damage,6.0,Under Investigation
INC-05286,SITE-004,2024-06-07,Spill,Medium,84.1,Physical much show action option thousand hope fill account.,Material Fatigue,5.2,Closed
INC-00028,SITE-002,2024-07-19,Equipment Failure,,95.8,Group including place play.,Material Fatigue,6.5,Under Investigation
INC-03081,SITE-001,22-Feb-2026,Leak,Low,86.8,Bill white minute myself all significant assume daughter after house.,Operator Error,22.6,Open
INC-05456,SITE-006,2023-12-20,Spill,Critical,44.2,Catch people affect full cold decade fly charge middle visit space finish senior personal garden would.,,19.4,Closed
INC-04981,SITE-006,2023-08-06,Fire,High,60.0,Hard series feeling pass heavy college someone in other activity between growth too.,Corrosion,1.4,Under Investigation
INC-03737,SITE-006,2026-09-10,,crit,67.6,Technology sort bank group speech sing three past increase president research what bar fact.,Material Fatigue,19.1,Open
INC-03854,SITE-006,18/07/2024,Spill,Low,90.3,International social create day produce goal.,Corrosion,1.9,Under Investigation
INC-02734,SITE-001,2023-08-17,Leak,Medium,73.3,Outside floor very trial especially put professional if face throw huge together hit.,Sensor Malfunction,2.2,Under Investigation
