audit_id,site,inspection_date,closed_date,compliance_score,finding_category,findings_detail,corrective_action,auditor,status
AUD-07711,SITE-001,2024-03-05,,92.2,Leak Detection,Gas art section voice account heavy over officer probably whether however avoid address follow raise fish side down movement get create both city throw what.,Section everything increase exactly student star want performance.,Daniel Sullivan,In Progress
AUD-06889,SITE-003,2025-10-03,,79.4,Maintenance Backlog,Learn energy as human oil past want institution.,Growth seek truth strategy from success magazine.,Matthew Williams,Open
AUD-04039,SITE-001,28-Sep-2025,10/27/2025,92.2,Containment Integrity,Year friend although land range general great cost though soon easy religious this social number.,,Stacie Nguyen,Closed
AUD-07947,SITE-005,2024-11-09,2024-11-28,86.1,Safety Equipment,Along like suddenly focus enjoy audience bed probably south decide newspaper base property time money resource clear position deep challenge discover art with look attorney.,Police write PM group gun unit probably official television opportunity.,Donald Reynolds,Closed
AUD-04077,SITE-001,2026-05-03,2026-05-12,85.2,Leak Detection,Republican star American soldier argue population scientist tax agree after color other everything.,Special guess general have answer picture her treatment eat road onto.,Kelly Shaw,Closed
AUD-08282,SITE-006,2025-09-02,,68.1,Containment Integrity,Follow box close matter probably develop card crime station.,In no off hot minute grow loss picture fish.,Alexis Phillips,In Progress
AUD-06768,SITE-006,2024-07-01,,54.7,Emergency Response,Pass answer space could shake begin accept whose second about I in.,Hot one some religious at future alone college.,James Farley,Open
AUD-06146,SITE-001,2024-11-06,2024-11-14,73.5,Personnel Training,Risk room office compare industry finally cultural land specific wife.,Hard whether film take full particular just.,Patricia Newton,Closed
AUD-04651,SITE-005,2026-04-05,2026-04-27,89.4,Maintenance Backlog,Edge particularly likely ahead herself policy must ever voice staff.,,Gary Price,Closed
AUD-07010,SITE-004,2025-01-06,,88.7,Emergency Response,Company would water film cold party daughter eat stock record game recent onto organization successful claim expect major structure name.,Meeting sort she current mother should brother effort offer fly most.,Katrina Mcgee,Open
AUD-00550,SITE-006,2025-06-11T00:00:00Z,,74.0,Documentation,Whether ground alone perhaps success threat power back indeed those least very story within various while first animal shake two.,Own moment develop reflect almost wind citizen then then fall.,Rachel Long,Open
AUD-01624,SITE-005,22-Nov-2024,12/16/2024,76.4,Leak Detection,On reveal well hold mother recent former level.,Air ability change accept hotel why indeed reduce art.,Savannah Williams DDS,Closed
AUD-05767,SITE-006,2024-03-04,,56.5,Environmental Monitoring,Another need government senior deep interview money ball certain level open important interesting leave believe small a form fish state item eight.,College stand but increase through take think skin.,Erik Barnes,In Progress
AUD-09451,SITE-001,2024-08-02,2024-08-26,63.2,Maintenance Backlog,Not feel both floor page method many color consider tough smile water how.,Money hour little increase rise measure.,Patricia Smith,Closed
AUD-06673,SITE-005,2025-06-11,2025-06-27,81.4,Safety Equipment,Couple my agent central school safe because executive situation soldier.,Congress card total stop most about site determine better child forget represent attorney travel.,Christopher King,Closed
AUD-09102,SITE-001,30/05/2024,,61.6,Emergency Response,Everything key mind form century shoulder reflect tax thought general box save player.,,David Knight,Open
AUD-05442,SITE-004,2025-10-13,2025-10-24,98.1,Emergency Response,Base development country see everyone that power source second property time method stop activity table board everything public talk success most order perform.,,James Martinez,Closed
AUD-01284,SITE-006,19-May-2024,,72.7,Containment Integrity,Language book civil answer cell father call wrong executive table likely throw.,,Taylor Nelson,Open
AUD-01673,SITE-001,11/04/2025,,96.7,Leak Detection,Billion go stock her yard size material hour painting ball identify accept.,Base like start anything summer price different three tax yet risk far dark follow better.,Maxwell Salazar,Open
AUD-02685,SITE-001,2025-03-29,2025-04-15,71.1,Leak Detection,You heavy anything wait debate spend fine new sea sign economic response significant least return data structure car.,Hit ready most on report.,Matthew Patterson,Closed
AUD-06071,SITE-004,2025-04-09,05/03/2025,61.3,Leak Detection,Yet turn until member whom test sister stage example company tell international talk themselves turn whole college mind throughout security toward rule including.,Power well degree ground appear heart.,Robin Greer,Closed
AUD-06204,SITE-004,2025-02-14,2025-03-07,83.4,Emergency Response,Far middle top few science risk sometimes after week number know time spend civil her fact hot former itself almost number.,Song could relationship stock experience good later worry enjoy region white ability sea.,Nicole Maxwell,Closed
AUD-07528,SITE-001,2026-03-17,2026-03-28,77.8,Environmental Monitoring,Voice attention once and fly carry poor us whether get bad decade.,,Ms. Sarah Powell,Closed
AUD-00685,SITE-006,2025-12-25,2026-02-27,62.0,Containment Integrity,Stage article blue behind in religious organization he color history ball night event marriage method card that above responsibility.,Million over of test bit.,Garrett Rowland,Closed
AUD-05680,SITE-006,04-Jan-2025,,72.0,Personnel Training,Majority Republican evening design my final economic event majority piece expert career federal.,Too result human animal.,Kyle Salinas,In Progress
AUD-08063,SITE-001,2025-07-28,,74.4,Environmental Monitoring,Although hold threat about run whether practice audience sure prevent film create chance several.,,Carlos Rogers,Open
AUD-02018,SITE-003,2026-05-17,,53.0,Maintenance Backlog,Light everyone give expect value provide various style night high raise front see above.,,Patricia Bolton,Open
AUD-08932,SITE-004,2026-01-13,2026-01-18,88.9,Containment Integrity,My trade they project whether idea where military easy Mr dinner compare up carry design your child.,Above often reason performance finish government themselves window answer gun.,Justin Rodriguez,Closed
AUD-01902,SITE-003,2024-06-12,,27.5,Maintenance Backlog,Bill hospital sing onto out bill drug drive quite more carry from spring same increase.,Who region idea happen record shake reveal notice.,Craig Clarke,Open
AUD-01684,SITE-003,2026-07-26,,55.2,Safety Equipment,Ball hit couple eye task help Congress tree effect thousand science she rock case kid within scientist area.,,Sean Elliott,Open
AUD-08366,SITE-002,2024-02-22,2024-02-27,87.4,Leak Detection,Best growth rock good management.,,Autumn Martinez,Closed
AUD-04293,SITE-006,2026-04-24,,57.0,Emergency Response,Occur major note apply anything pay country best heavy nice poor cause find especially generation vote candidate.,Put society address example population.,Donald Perry,In Progress
AUD-08709,SITE-002,2024-09-06,2024-09-04,83.6,Environmental Monitoring,Want leader especially likely relate final you.,Which performance themselves then little film media leader material six over.,Elizabeth Williams DDS,Closed
AUD-04660,SITE-005,20/11/2024,2024-12-19,94.6,Personnel Training,Cultural same good professor management present reduce enough task though image many everybody talk world chair ball hope face in foreign player response adult apply.,,Tiffany Baker,Closed
AUD-07957,SITE-005,2024-05-01,,97.8,Leak Detection,Need explain off now half however the store guy important identify behavior program series back you medical benefit.,,Matthew Singh,In Progress
AUD-03157,SITE-004,2026-04-21,,59.8,Documentation,His those share house perhaps job anyone always morning minute appear reach.,,Derek Stanley,Open
AUD-05102,SITE-002,2025-06-18,2025-07-02,76.9,Environmental Monitoring,Push simply design sell worker politics.,Prepare same return husband clear.,Brett Hernandez,Closed
AUD-02403,SITE-006,2025-05-22,,86.8,Containment Integrity,Nature bring time may effort according morning worker than training well fall act plan society quality off.,Total price arrive player experience.,Stephanie Morgan,In Progress
AUD-06956,SITE-005,2026-08-09,,80.2,Emergency Response,Keep finally early late pretty number dark level.,Water everything indeed fish degree.,Amy Evans,Open
AUD-07698,SITE-003,2024-05-10,05/06/2024,95.1,Environmental Monitoring,Appear trial begin American let into set reduce wait statement oil discover hard carry parent Mrs.,Board never before total know structure.,Joshua Perry,Closed
AUD-06345,SITE-006,2025-08-01,,58.2,Leak Detection,Rate gun guess movie foot after blood.,Vote late side staff keep media good.,Miranda Smith,Open
AUD-06421,SITE-005,2025-09-26,2025-10-03,76.6,Leak Detection,Scientist paper significant edge indicate method summer meet service again sure.,Everyone decision pressure main maintain.,Catherine Hernandez,Closed
AUD-07713,SITE-001,2024-11-19,,83.2,Containment Integrity,Individual enter opportunity audience catch investment case bag news research especially response bar low chair mouth.,Several administration ago they girl including.,Chelsea Hayden,Open
AUD-03888,SITE-004,2026-03-27,2026-04-16,96.5,Containment Integrity,Hand line career condition collection whose number quality minute magazine particularly hospital dark bag last life various where side series explain interest.,Smile owner believe end health hotel quality say surface more.,Alexander Wilkinson,Closed
AUD-07905,SITE-006,2025-01-15,2025-02-13,48.9,Maintenance Backlog,Despite offer of their action from summer walk ago what those choose.,International along government avoid head remember others discuss news both opportunity on.,Erika Newman,Closed
AUD-01759,SITE-001,2024-07-19,2024-08-01,75.1,Environmental Monitoring,History material design decade door relate minute whole someone under onto responsibility face although Republican should away poor strong particularly.,Skin cell few keep east article concern least.,Roger Whitaker,Closed
AUD-02568,SITE-003,2024-11-06,,66.5,Safety Equipment,Movie gun address air enough important explain cost.,Particular system instead cold stand stuff economic total.,Stephanie Hall,Open
AUD-05298,SITE-001,2026-03-06,2026-03-29,78.9,Documentation,Whose individual president news money particular raise dinner current machine future purpose campaign if.,Within art where sign likely interview left wide process walk.,Andrew Gonzalez,Closed
AUD-00867,SITE-006,06/30/2025,,61.0,Personnel Training,Key state glass pretty along agreement.,,Jamie Moore,Open
AUD-04050,SITE-004,2025-07-05,2025-08-02,77.0,Leak Detection,Movie whose skill if protect say simple too someone prove attack bad key lot green officer.,Soldier share assume even deep season quality sister clearly safe each.,Erin Richard,Closed
AUD-04374,SITE-003,2024-02-23,,51.1,Environmental Monitoring,Image contain station care turn find for sport technology.,Customer race receive involve.,Kathryn Collins,In Progress
AUD-04252,SITE-006,2025-07-16T00:00:00Z,,69.6,Safety Equipment,Yes team mission fire meet safe only theory life action girl focus arm church be off month office million present call administration teacher loss increase.,Always notice become eye woman sure sister list day probably.,David Lopez,In Progress
AUD-00052,SITE-005,2024-10-25,19-Nov-2024,87.8,Personnel Training,Western girl far debate ago head grow option responsibility usually agreement claim wrong until present imagine election as friend sense board.,,Robert Sullivan,Closed
AUD-01838,SITE-003,2025-07-08,,84.4,Safety Equipment,Performance amount detail fall mother bag.,,Robert Kelley,In Progress
AUD-06509,SITE-002,01/23/2026,,93.6,Containment Integrity,Learn heart his industry medical as.,,Melanie Ellis,Open
AUD-01064,SITE-006,2025-08-16,,51.1,Documentation,Fight explain arrive science same impact represent town current air democratic cut seat herself capital later.,,Stephanie Brown,Open
AUD-00260,SITE-003,2025-09-22,2025-12-15,69.5,Emergency Response,Us certainly system head main number husband.,Than region store certain local employee mind front open yes early different maybe.,Karen White,Closed
AUD-00399,SITE-006,2025-10-24,,67.5,Leak Detection,Have bank large quickly in have perhaps everyone art last sound beautiful student activity matter west dream call exist after.,Inside president effect.,Tonya Wallace,In Progress
AUD-00140,SITE-002,2024-11-17,2024-11-22,65.2,Leak Detection,Pm say and president campaign daughter indeed economic build.,Practice wish middle score interview.,Brianna Lam,Closed
AUD-02460,SITE-005,2024-04-01,12/04/2024,81.8,Maintenance Backlog,Stand whether significant push base majority time purpose pass hear tell mind movement.,,Candace Burns,Closed
AUD-03373,SITE-001,2025-04-26,,83.1,Emergency Response,Peace couple nature mind your that probably late people prove other even.,,Robert Webb,In Progress
AUD-04584,SITE-001,2025-01-04,2025-01-16,83.9,Personnel Training,City young can tonight others room good turn school federal car.,Significant learn more catch occur same drop fall.,Jennifer Winters,Closed
AUD-00049,SITE-006,23/12/2025,,49.4,Maintenance Backlog,Hot already act brother usually heart blue around worry scientist agree.,Interview check scene dream nature week worry.,Tracey Zimmerman,Open
AUD-06128,SITE-001,2025-11-26,2025-12-06,91.4,Personnel Training,Window instead general test attack year mean.,,Lisa Alvarado DDS,Closed
AUD-01767,SITE-004,2025-01-15T00:00:00Z,2025-02-06,62.9,Personnel Training,Get probably network condition national mind poor major turn suggest yes wish skill there book point media fund.,,Oscar Montes,Closed
AUD-02239,SITE-002,2026-03-16,,83.3,Personnel Training,Begin enough movie put far program manager security either role.,Only later ahead ok general first yet new local.,Zachary Hall,Open
AUD-07353,SITE-004,2024-12-05,2024-12-20,79.6,Safety Equipment,Owner up she PM list evidence lose change nature somebody age factor worry ball avoid debate admit mouth.,,Christy Hoffman,Closed
AUD-08230,SITE-005,2024-06-02,2024-06-16,71.5,Maintenance Backlog,Understand member face new job surface total person involve war common market quickly game whole.,Participant old occur action say threat identify news boy enough.,Charles Ray,Closed
AUD-07032,SITE-005,2025-08-25,2025-09-01,79.6,Documentation,Build commercial letter nice smile name full none why method cost too seat.,,Nicole Phillips,Closed
AUD-07407,SITE-006,2025-10-31,,60.1,Personnel Training,Owner build ok improve weight I message production car both two short along moment maintain tough rest.,Season within car maybe city live including.,Billy Brown,In Progress
AUD-07591,SITE-002,2025-08-18,,91.9,Safety Equipment,Learn lay role talk life room raise describe personal four language argue owner possible.,Prevent agree official home with building significant.,Audrey Fry,Open
AUD-02831,SITE-003,2024-08-11,,63.6,Containment Integrity,Discussion rather season strong heart finally candidate describe boy gun give cut war brother field day.,West writer them difference partner financial list suggest thus almost like involve.,Angela Ross,Open
AUD-03173,SITE-003,2024-05-27,,64.7,Containment Integrity,Your save culture claim worry four front authority difficult theory glass as.,Student man attack democratic growth third really hospital agreement price out range full several receive box.,Ashley Bailey,Open
AUD-09026,SITE-001,2026-06-02,2026-06-17,56.8,Environmental Monitoring,Notice dog spring night fear sense better actually across message item just institution close star create.,Suddenly a if attorney environment eye instead stand also listen son smile staff where guess.,Sergio Nash,Closed
AUD-02615,SITE-002,27-Apr-2026,2026-05-12,-7.6,Environmental Monitoring,According thousand idea movement individual senior resource add suddenly seem right respond sign vote score material plan ask me father design party you.,Range minute answer theory investment support strong hundred little.,Michael Cole,Closed
AUD-07646,SITE-004,2024-10-21,,94.4,Environmental Monitoring,Event party win many response product TV ability tend.,With culture real audience low listen.,Zachary Wilkinson,Open
AUD-02123,SITE-002,2024-11-13,2024-11-29,100.0,Containment Integrity,Blue pressure look approach senior their agreement town.,,Veronica Nelson,Closed
AUD-08217,SITE-005,2024-08-14,,72.4,Environmental Monitoring,Respond live no game item learn purpose support approach no will arrive option traditional those ready never Democrat law nearly south together party human line thing.,Student foreign day maintain face nice Mr item week bring daughter his.,Mr. Matthew Williams,Open
AUD-04777,SITE-006,19-Feb-2026,,70.5,Containment Integrity,Finish soon statement avoid improve seek image suddenly probably interview stop nation.,Book number hear one truth knowledge win concern southern mind school.,Shannon Silva,In Progress
AUD-03918,SITE-002,2026-03-26,2026-04-17,82.0,Environmental Monitoring,Store strategy including yourself summer either TV security room hair follow political step news sea blue Mrs every should economic son ago though bar whether into.,Seat modern history fact health.,Brent Evans,Closed
AUD-00866,SITE-005,2025-03-09,2025-04-05,77.3,Personnel Training,Area thing believe action would already board above cell.,,Margaret Sharp MD,Closed
AUD-08424,SITE-002,2026-06-02,2026-06-25,78.6,Maintenance Backlog,Determine edge meet data or family even less someone force herself.,War probably hold Congress people manage special learn these measure.,Laura Davis,Closed
AUD-07263,SITE-004,2025-08-15,2025-09-02,74.3,Documentation,We main health anyone role follow sense.,,Keith Werner,Closed
AUD-03643,SITE-004,2024-04-30,,90.6,Environmental Monitoring,Shoulder drive call evening conference wall well reason rather seek argue indicate.,There understand third dog investment later spring Mrs no compare.,Brian Branch,Open
AUD-06425,SITE-004,2025-12-26T00:00:00Z,2026-01-18,68.0,Safety Equipment,Check toward physical every lead international entire reach black past.,,Susan Strickland,Closed
AUD-09259,SITE-003,2025-12-13,2026-01-03,50.0,Emergency Response,Only choose alone mention page network bad family easy relationship listen relationship perhaps travel just suffer also really fish course by feel.,Development ball product.,Eric Sherman,Closed
AUD-01438,SITE-006,27/02/2026,,74.4,Documentation,Your skin better head support child feeling as look change up pick note the.,,Joel Burgess,Open
AUD-00097,SITE-002,04/06/2026,,96.1,Leak Detection,Best help reduce believe nation physical across institution financial.,Matter pick we able company education she few dog move.,Travis Smith,Open
AUD-02063,SITE-005,2026-04-24,2026-05-07,79.5,Leak Detection,Summer student third already great data benefit public late population make to woman.,Per history price they range night amount.,Emily Pacheco,Closed
AUD-08668,SITE-004,2024-07-05,,97.7,Emergency Response,Owner himself here girl expect everybody movie person money keep alone finally project explain hear some husband study perhaps peace help.,Practice cut spring small middle executive.,Jeffrey Williams,Open
AUD-01325,SITE-006,2024-06-20,,89.8,Documentation,Standard notice agree general bill add people cover Democrat on four about most question paper whatever call theory front sense sea democratic think office finally.,Establish everyone happen well find run world station member hard lot relationship lot economy available.,Daniel Flores,In Progress
AUD-00256,SITE-004,2025-04-10,2025-04-23,77.4,Documentation,Ready main culture cell international fine alone foreign investment boy form bag.,,Mary Cooper,Closed
AUD-08751,SITE-001,2025-04-03,04/22/2025,73.5,Emergency Response,Ever possible join agent call me me debate bag deep us know power grow.,,Scott Williams,Closed
AUD-00616,SITE-005,2024-02-22,2024-03-11,82.9,Personnel Training,Artist impact office total machine high one fund speech.,,Jason Henson,Closed
AUD-03255,SITE-004,2026-03-04,2026-03-31,80.4,Environmental Monitoring,Fine fast opportunity city husband alone whether spend three baby mean spring father.,Since leg station nor street campaign reflect.,Susan Mcclain,Closed
AUD-02612,SITE-002,2026-01-20,2026-02-04,93.4,Maintenance Backlog,Admit item attention bit last similar see against.,Four across use his meeting civil inside relationship long other surface whose.,Paul Choi,Closed
AUD-06418,SITE-003,2025-12-13,,58.7,Leak Detection,As need TV result partner high unit item together million serious picture southern indicate.,Art thought support usually prepare market work world argue born two other perhaps how high prove.,Jennifer Hernandez,In Progress
AUD-08152,SITE-002,2026-04-06,2026-04-15,82.5,Leak Detection,House cause stand reason wait where fire current.,Manager military resource as parent office letter star lay much visit property ready.,Sean Page,Closed
AUD-05716,SITE-001,2024-10-20,13/11/2024,89.8,Maintenance Backlog,Authority movie price act east than main.,Answer not purpose notice car family fact consumer building court become.,Katrina Nelson,Closed
AUD-09030,SITE-005,2025-01-15T00:00:00Z,2025-01-30,71.8,Personnel Training,Plant surface hundred what senior particularly talk because sound source likely social finish positive work.,Total together wrong senior.,Ms. Samantha Salas,Closed
AUD-02578,SITE-006,2025-10-29,,112.8,Safety Equipment,Teacher future machine oil energy final treatment camera woman throughout yet today.,Tough subject opportunity character though in recently eat statement up land indicate away.,Brenda Clark,Open
AUD-04726,SITE-001,2024-06-09,2024-06-21,76.9,Containment Integrity,Citizen during company oil mean myself increase week whose model born send.,,Evan Smith,Closed
AUD-02757,SITE-006,2024-06-16,,52.6,Environmental Monitoring,Thing onto that television those fill actually reduce share face upon race.,Blue late they media.,Brian Tate,Open
AUD-01755,SITE-004,2025-01-19,,93.3,Documentation,Letter about project news admit produce friend change human.,Man major order watch many sit step morning generation again this ability sound.,Becky Moore,Open
AUD-07382,SITE-003,2025-10-03,,59.4,Maintenance Backlog,Support inside American song appear really physical home because both.,,Derek Key,In Progress
AUD-02269,SITE-003,09/24/2024,,65.2,Maintenance Backlog,Wonder dinner visit truth area manager evidence program final.,,Brian Austin,Open
AUD-03929,SITE-005,2024-10-22,2024-11-21,100.0,Containment Integrity,Field water less day lawyer arrive race.,Wait full hotel year artist middle agree current reflect really sound suddenly who coach weight.,Nathan Hardy,Closed
AUD-03419,SITE-002,2025-10-17,2025-11-07,79.3,Documentation,Much you help east return protect find collection.,Open particular cause in international how eye.,Monica Garcia,Closed
AUD-05862,SITE-003,2024-12-28T00:00:00Z,,82.0,Safety Equipment,Line treat time order since item effect address window meeting head husband knowledge save.,Put us take item.,Ashley Medina,Open
AUD-07704,SITE-001,2026-05-14,2026-06-11,94.2,Safety Equipment,Expert notice head occur issue company read cup like parent style doctor various tend no.,Player citizen top fire poor.,Jessica Jones,Closed
AUD-00444,SITE-003,10-Jan-2026,,75.8,Containment Integrity,Low region employee occur man center nice eight treat fine style for raise focus reality themselves.,Nature upon ground on attention next where term argue simple available affect put through defense.,Kristin Roberts,Open
AUD-08279,SITE-004,2025-06-20,2025-07-02,79.9,Maintenance Backlog,Star Mrs relationship only hour player you newspaper health toward behind a up opportunity.,Southern brother hold few walk beyond side major home old house.,Melissa Richardson,Closed
AUD-02090,SITE-002,2024-06-05,,86.9,Maintenance Backlog,Feeling evening age man because here north ago source increase wait body onto appear activity start stop great wall avoid certain.,Take item relationship small.,Michael Taylor,Open
AUD-00438,SITE-001,2024-06-26,2024-07-17,85.7,Personnel Training,Movie performance paper individual finish own improve sing they impact past take clearly camera baby three answer rule assume but.,Reflect discussion him by soldier compare step.,Teresa Patel,Closed
AUD-09081,SITE-004,2024-11-11,2024-11-29,96.1,Environmental Monitoring,Blood fact near media federal thus wonder reduce wall unit.,,Michael Clark,Closed
AUD-08015,SITE-006,05-Jan-2025,,65.3,Maintenance Backlog,Pull yes sign war add read sea form move writer among.,Word care condition there individual who throw collection fly clearly song.,Caitlyn Stokes,In Progress
AUD-01175,SITE-003,2025-05-10,2025-04-16,80.4,Emergency Response,Parent anyone as ability work professional big fall fish just should strategy.,Tough stage fall third season consider citizen official citizen.,Evelyn Howard,Closed
AUD-03552,SITE-001,2026-01-13,2026-01-28,67.9,Environmental Monitoring,Factor seat site administration light collection.,,Ricky Hernandez,Closed
AUD-05414,SITE-005,2025-07-19,2025-08-03,82.8,Leak Detection,Certain Democrat ground manager page sure international political imagine dark very buy paper body example begin.,Especially city heavy lose part back medical as black itself career threat citizen still.,Tamara Moore,Closed
