record_id,dataset,issue_type,detail
INC-00342,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2025-01-13T00:00:00Z
INC-00343,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 10-Sep-2023
INC-00344,incidents,dirty_label:severity,Critical ->  Critical
INC-00345,incidents,dirty_label:incident_type,Near Miss -> NEAR MISS
INC-00346,incidents,dirty_label:incident_type,Equipment Failure -> Equip. Failure
INC-00350,incidents,dirty_label:severity,Critical -> critical
INC-00350,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2023-11-14T00:00:00Z
INC-00352,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2025-02-09T00:00:00Z
INC-00352,incidents,future_date:incident_date,2026-10-05
INC-00353,incidents,dirty_label:incident_type,Leak -> leak 
INC-00354,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2026-01-31T00:00:00Z
INC-00356,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 03/26/2024
INC-00360,incidents,dirty_label:incident_type,Leak ->  Leak
INC-00362,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 10/10/2025
INC-00367,incidents,dirty_label:severity,High -> HIGH
INC-00372,incidents,dirty_label:severity,Critical -> CRITICAL
INC-00372,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 04/09/2023
INC-00380,incidents,dirty_label:severity,High -> high
INC-00383,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 27-Jan-2025
INC-00384,incidents,dirty_label:incident_type,Equipment Failure -> Equipment  Failure
INC-00386,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 30/11/2024
INC-00387,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 08/05/2024
INC-00388,incidents,dirty_label:incident_type,Near Miss -> Near  Miss
INC-00389,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 01/14/2024
INC-00391,incidents,dirty_label:incident_type,Fire -> FIRE
INC-00392,incidents,dirty_label:severity,Medium -> Medium 
INC-00392,incidents,dirty_label:incident_type,Fire -> FIRE
INC-00392,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 20-Nov-2024
INC-00394,incidents,dirty_label:severity,Critical -> CRITICAL
INC-00395,incidents,dirty_label:incident_type,Near Miss -> NEAR MISS
INC-00396,incidents,dirty_label:incident_type,Spill -> Spill 
INC-00398,incidents,dirty_label:severity,High -> Hi
INC-00398,incidents,dirty_label:incident_type,Equipment Failure -> Equip. Failure
INC-00399,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 15/10/2023
INC-00399,incidents,missing_required_field:incident_type,
INC-00400,incidents,dirty_label:incident_type,Spill -> spill
INC-00402,incidents,dirty_label:severity,Medium ->  medium
INC-00404,incidents,dirty_label:incident_type,Spill -> Spill 
INC-00404,incidents,missing_required_field:severity,
INC-00408,incidents,dirty_label:severity,Medium ->  medium
INC-00418,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 03/06/2025
INC-00422,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 31/10/2024
INC-00424,incidents,dirty_label:incident_type,Fire -> Fire 
INC-00425,incidents,dirty_label:severity,Low -> low 
INC-00425,incidents,missing_required_field:incident_type,
INC-00426,incidents,dirty_label:incident_type,Leak -> LEAK
INC-00427,incidents,missing_required_field:severity,
INC-00427,incidents,missing_required_field:incident_type,
INC-00432,incidents,dirty_label:severity,Low -> Lo
INC-00432,incidents,missing_required_field:severity,
INC-00436,incidents,future_date:incident_date,2026-09-12
INC-00438,incidents,missing_required_field:incident_type,
INC-00439,incidents,dirty_label:severity,Critical -> CRITICAL
INC-00439,incidents,out_of_range:compliance_score,-0.5
INC-00440,incidents,missing_required_field:incident_type,
INC-00441,incidents,out_of_range:compliance_score,150.0
INC-00442,incidents,dirty_label:severity,High -> HIGH
INC-00451,incidents,dirty_label:incident_type,Near Miss -> near-miss
INC-00457,incidents,missing_required_field:severity,
INC-00458,incidents,missing_required_field:severity,
INC-00459,incidents,dirty_label:severity,High -> Hi
INC-00465,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 28/01/2024
INC-00466,incidents,dirty_label:incident_type,Leak -> leak
INC-00467,incidents,dirty_label:severity,Medium ->  medium
INC-00468,incidents,dirty_label:severity,Low -> LOW
INC-00469,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2024-08-14T00:00:00Z
INC-00471,incidents,missing_required_field:severity,
INC-00473,incidents,dirty_label:incident_type,Leak ->  Leak
INC-00474,incidents,dirty_label:severity,High -> HIGH
INC-00476,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 06/02/2025
INC-00480,incidents,missing_required_field:severity,
INC-00481,incidents,dirty_label:incident_type,Fire -> Fire 
INC-00481,incidents,future_date:incident_date,2026-08-22
INC-00483,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 08/27/2025
INC-00487,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2024-09-27T00:00:00Z
INC-00491,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 24-Feb-2026
INC-00492,incidents,dirty_label:severity,High -> Hi
INC-00493,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2024-05-16T00:00:00Z
INC-00495,incidents,missing_required_field:incident_type,
INC-00498,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 31-May-2025
INC-00502,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 03/05/2025
INC-00506,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 07/19/2025
INC-00509,incidents,dirty_label:incident_type,Near Miss -> NEAR MISS
INC-00511,incidents,dirty_label:severity,Medium -> Medium 
INC-00512,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2023-08-18T00:00:00Z
INC-00512,incidents,missing_required_field:incident_type,
INC-00513,incidents,dirty_label:incident_type,Near Miss -> Near  Miss
INC-00513,incidents,missing_required_field:incident_type,
INC-00514,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 21/08/2023
INC-00514,incidents,missing_required_field:incident_type,
INC-00518,incidents,missing_required_field:incident_type,
INC-00519,incidents,dirty_label:severity,Medium -> Med
INC-00520,incidents,missing_required_field:severity,
INC-00522,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 07/09/2024
INC-00527,incidents,dirty_label:severity,High -> Hi
INC-00528,incidents,dirty_label:incident_type,Leak -> leak
INC-00529,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 27/12/2024
INC-00530,incidents,dirty_label:incident_type,Near Miss -> near-miss
INC-00532,incidents,dirty_label:incident_type,Leak ->  Leak
INC-00537,incidents,missing_required_field:severity,
INC-00539,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 19/12/2024
INC-00540,incidents,missing_required_field:severity,
INC-00552,incidents,dirty_label:severity,High ->  High
INC-00552,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 17-Jul-2026
INC-00554,incidents,dirty_label:incident_type,Fire -> Fire 
INC-00555,incidents,dirty_label:severity,Low ->  Low
INC-00557,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 15-May-2025
INC-00559,incidents,missing_required_field:incident_type,
INC-00560,incidents,missing_required_field:severity,
INC-00560,incidents,out_of_range:compliance_score,104.0
INC-00561,incidents,dirty_label:severity,Critical ->  Critical
INC-00564,incidents,dirty_label:incident_type,Fire -> Fire 
INC-00564,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 03/06/2024
INC-00565,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 16/01/2024
INC-00565,incidents,out_of_range:compliance_score,-0.5
INC-00568,incidents,dirty_label:severity,Low ->  Low
INC-00569,incidents,dirty_label:incident_type,Leak -> LEAK
INC-00571,incidents,dirty_label:severity,Medium ->  medium
INC-00571,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 02/13/2024
INC-00572,incidents,dirty_label:severity,Critical -> crit
INC-00572,incidents,out_of_range:compliance_score,-12.3
INC-00573,incidents,dirty_label:severity,High ->  High
INC-00573,incidents,missing_required_field:severity,
INC-00575,incidents,dirty_label:incident_type,Leak -> LEAK
INC-00575,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2023-09-08T00:00:00Z
INC-00579,incidents,future_date:incident_date,2026-08-11
INC-00580,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 02/03/2026
INC-00582,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 17/11/2025
INC-00582,incidents,out_of_range:compliance_score,150.0
INC-00583,incidents,missing_required_field:incident_type,
INC-00586,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 17/01/2024
INC-00588,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 08/11/2023
INC-00589,incidents,dirty_label:severity,Medium -> Med
INC-00592,incidents,dirty_label:incident_type,Near Miss -> near-miss
INC-00592,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2025-01-22T00:00:00Z
INC-00596,incidents,dirty_label:incident_type,Leak -> leak 
INC-00602,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 30/04/2025
INC-00605,incidents,dirty_label:severity,Low -> Lo
INC-00607,incidents,dirty_label:severity,Low -> low
INC-00608,incidents,dirty_label:incident_type,Leak -> Oil Leak
INC-00611,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 24/08/2025
INC-00612,incidents,dirty_label:severity,High ->  High
INC-00612,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2025-10-06T00:00:00Z
INC-00612,incidents,missing_required_field:incident_type,
INC-00614,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 10/09/2025
INC-00620,incidents,missing_required_field:severity,
INC-00621,incidents,dirty_label:severity,Critical -> crit
INC-00623,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 19-Feb-2026
INC-00627,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 03/16/2026
INC-00630,incidents,dirty_label:incident_type,Spill ->  spill 
INC-00631,incidents,dirty_label:incident_type,Equipment Failure -> equipment failure
INC-00633,incidents,dirty_label:severity,Low -> LOW
INC-00633,incidents,missing_required_field:severity,
INC-00635,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2024-12-18T00:00:00Z
INC-00638,incidents,dirty_label:incident_type,Near Miss -> near miss
INC-00640,incidents,dirty_label:incident_type,Near Miss -> Near  Miss
INC-00643,incidents,dirty_label:severity,Medium -> Med
INC-00643,incidents,dirty_label:incident_type,Fire -> Fire 
INC-00645,incidents,dirty_label:severity,Low ->  Low
INC-00652,incidents,future_date:incident_date,2026-08-18
INC-00652,incidents,out_of_range:compliance_score,104.0
INC-00654,incidents,missing_required_field:incident_type,
INC-00655,incidents,missing_required_field:severity,
INC-00657,incidents,dirty_label:severity,Low -> LOW
INC-00659,incidents,missing_required_field:severity,
INC-00663,incidents,missing_required_field:incident_type,
INC-00664,incidents,dirty_label:incident_type,Leak ->  Leak
INC-00664,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 23/07/2023
INC-00665,incidents,dirty_label:incident_type,Spill ->  spill 
INC-00665,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 10-Mar-2024
INC-00668,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 02-Nov-2023
INC-00670,incidents,dirty_label:severity,High -> high
INC-00670,incidents,dirty_label:incident_type,Equipment Failure -> Equip. Failure
INC-00670,incidents,future_date:incident_date,2026-09-28
INC-00673,incidents,dirty_label:incident_type,Equipment Failure -> Equip. Failure
INC-00673,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2024-10-11T00:00:00Z
INC-00674,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2026-04-12T00:00:00Z
INC-00675,incidents,dirty_label:incident_type,Near Miss -> near-miss
INC-00679,incidents,dirty_label:incident_type,Leak -> leak 
INC-00685,incidents,dirty_label:incident_type,Leak ->  Leak
INC-00690,incidents,dirty_label:severity,Critical ->  Critical
INC-00690,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 01/12/2025
INC-00691,incidents,dirty_label:severity,Medium -> MEDIUM
INC-00691,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 11/04/2026
INC-00693,incidents,dirty_label:incident_type,Fire -> FIRE
INC-00696,incidents,out_of_range:compliance_score,104.0
INC-00700,incidents,future_date:incident_date,2026-08-22
INC-00701,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 23/08/2023
INC-00708,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 08-Jan-2024
INC-00709,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 10/29/2023
INC-00713,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 01/21/2026
INC-00717,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2023-12-21T00:00:00Z
INC-00718,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 06/12/2024
INC-00721,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2026-01-19T00:00:00Z
INC-00727,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 11/12/2023
INC-00730,incidents,dirty_label:severity,Medium -> medium
INC-00735,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 15/10/2024
INC-00735,incidents,missing_required_field:severity,
INC-00737,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 08/27/2025
INC-00739,incidents,missing_required_field:severity,
INC-00740,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 11/21/2025
INC-00742,incidents,missing_required_field:incident_type,
INC-00743,incidents,missing_required_field:severity,
INC-00744,incidents,dirty_label:severity,Critical -> Crit
INC-00745,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2025-11-06T00:00:00Z
INC-00746,incidents,dirty_label:severity,Medium ->  medium
INC-00747,incidents,dirty_label:incident_type,Leak -> LEAK
INC-00749,incidents,dirty_label:severity,High -> HIGH
INC-00752,incidents,dirty_label:severity,High ->  High
INC-00753,incidents,future_date:incident_date,2026-08-15
INC-00754,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 25/05/2026
INC-00757,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2025-11-21T00:00:00Z
INC-00758,incidents,dirty_label:severity,Low -> LOW
INC-00759,incidents,dirty_label:incident_type,Equipment Failure -> equipment failure
INC-00760,incidents,dirty_label:severity,Critical -> critical
INC-00763,incidents,mixed_date_format:incident_date,used format %d-%b-%Y: 13-Oct-2024
INC-00766,incidents,dirty_label:severity,Critical -> crit
INC-00771,incidents,dirty_label:incident_type,Equipment Failure -> Equipment  Failure
INC-00772,incidents,dirty_label:severity,High ->  High
INC-00774,incidents,mixed_date_format:incident_date,used format %Y-%m-%dT%H:%M:%SZ: 2024-11-20T00:00:00Z
INC-00775,incidents,dirty_label:incident_type,Equipment Failure -> Equipment  Failure
INC-00776,incidents,mixed_date_format:incident_date,used format %d/%m/%Y: 13/10/2025
INC-00777,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 01/03/2024
INC-00778,incidents,dirty_label:incident_type,Leak -> leak 
INC-00780,incidents,missing_required_field:severity,
INC-00786,incidents,mixed_date_format:incident_date,used format %m/%d/%Y: 07/02/2026
INC-00786,incidents,missing_required_field:severity,
INC-00787,incidents,dirty_label:incident_type,Spill -> spill
